Topic,Description,Detail URL,Research Area,Opportunity Timing,Deadline Date,Sponsoring Institution,Location,Duration,Compensation,Citizenship Requirement
Maternal Child Health Careers/Research Initiatives for Student Enhancement (MCHC/RISE-UP),"The MCHC/RISE-UP Program provides opportunities for enhanced public health leadership training in maternal and child health, focusing on social determinants of health, elimination of health disparities, and developmental disabilities. This program provides undergraduate scholars with three public health leadership experiences: (1) clinical, (2) research, and (3) community engagement and advocacy.",https://researchops.web.illinois.edu/opportunity/maternal-child-health-careersresearch-initiatives-student-enhancement-mchcrise,Medicine & Health,Summer,1/31/25,Kennedy Krieger Institute,Various,9 weeks,"$5,400","US Citizen, National, or Permanent Resident required"
Integrating Biology from Molecules to Ecosystems REU,"This program offers hands-on research experience in cell, developmental, and evolutionary biology. With faculty guidance, participants engage in individual projects, attend tutorials, seminars, and professional development workshops, along with presentations and a mini-symposium.",https://researchops.web.illinois.edu/opportunity/integrating-biology-molecules-ecosystems-reu,Natural Sciences,Summer,Anticipated 1/31/25,"University of California, Berkeley","Berkeley, CA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Mapping Freedom in Civil War & Reconstruction (REU),"This REU aims to equip students, particularly those underrepresented in STEM, with skills in geography, computer science, and digital humanities to analyze and visualize complex historical periods. It seeks to inspire students to pursue careers in research and demonstrate the potential of accessible mapping technology for various applications.",https://researchops.web.illinois.edu/opportunity/mapping-freedom-civil-war-reconstruction-reu,"Data Science, Humanities & Arts, Science & Technology",Summer,1/31/25,University of Southern Mississippi,"Hattiesburg, MS",7 weeks,"$5,600","US Citizen, National, or Permanent Resident required"
NIST SURF Program,"The SURF Program provides research opportunities for students to work with internationally known NIST scientists, to expose them to cutting-edge research and promote the pursuit of graduate degrees in science and engineering. SURF gives students an opportunity to: Gain substantive career experience related to your academic interests, acquire lifelong leadership, management, and analytical skills, learn about a career in public service, build professional relationships, contacts, and networks, and observe the daily operations and working environment of a premier federal laboratory for 11 weeks.",https://researchops.web.illinois.edu/opportunity/nist-surf-program,Science & Technology,Summer,1/31/25,National Institute of Standards and Technology,"Gaithersburg, MD",11 weeks,"$6,600","US Citizen, National, or Permanent Resident required"
Center for Precision Medicine Undergraduate Summer Research Internship,"This 9-week internship provides students with the opportunity to use state-of-the-art high-throughput genomics, proteomics, metabolomics, and bioinformatics to study human diseases such as heart disease, obesity, diabetes, and aging at the Wake Forest School of Medicine Center for Precision Medicine.",https://researchops.web.illinois.edu/opportunity/center-precision-medicine-undergraduate-summer-research-internship,Medicine & Health,Summer,1/31/25,Wake Forest School of Medicine,"Winston-Salem, NC",9 weeks,"$5,000",No Citizenship Requirements
Gulf of Maine Research Institute (GMRI) REU,"Students are paired with GMRI researchers engaged in research on a range of climate, ecosystem, fisheries, oceanographic, economic, social science, science-of-learning, cognitive science, and interdisciplinary studies.",https://researchops.web.illinois.edu/opportunity/gulf-maine-research-institute-gmri-reu,"Natural Sciences, Social Sciences & Behavior",Summer,Anticipated 1/31/25,Gulf of Maine Research Institute,"Portland, ME",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Tree Science in the Anthropocene,"The  program uses trees as model systems to investigate questions related to evolution, ecology, conservation, and management in natural and built environments. Participate in a paid, intensive, 10-week summer program, with housing and travel provided, conducting an independent research project under the guidance of a research mentor.",https://researchops.web.illinois.edu/opportunity/tree-science-anthropocene,"Natural Sciences, Science & Technology",Summer,1/31/25,The Morton Arboretum,"Lisle, IL",10 weeks,"$7,500","US Citizen, National, or Permanent Resident required"
Low-Dimensional Materials for Transducers (LDM4T) - Summer Research in Korea,This program aims at providing frontier research experiences in the development of low-dimensional materials for transducers (LDM4T) at university laboratories in Korea.,https://researchops.web.illinois.edu/opportunity/low-dimensional-materials-transducers-ldm4t-summer-research-korea,Science & Technology,Summer,1/31/25,University of Central Florida,South Korea,8 weeks,,"US Citizen, National, or Permanent Resident required"
Summer Undergraduate Program in Engineering Research at Berkeley (SUPERB) - Artificial Intelligence for Engineering (AI4E),"SUPERB-AI4E is REU in AI for Engineering, addressing challenges in machine learning, safety, and design unpredictability.",https://researchops.web.illinois.edu/opportunity/summer-undergraduate-program-engineering-research-berkeley-superb-artificial,Science & Technology,Summer,Anticipated 1/31/25,"University of California, Berkeley","Berkeley, CA",9 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
REU in Advanced Materials,"The UC San Diego MRSEC REU program offers full-time summer research opportunities in materials science, focusing on predictive assemblies and engineered living materials, with participants working alongside faculty from various departments. Students receive extensive training, mentoring, and professional development, culminating in the chance to present their research at a conference.",https://researchops.web.illinois.edu/opportunity/reu-advanced-materials,"Natural Sciences, Science & Technology",Summer,1/31/25,"University of California, San Diego","La Jolla, CA",8 weeks,"$4,800","US Citizen, National, or Permanent Resident required"
AGA-Aman Armaan Ahmed Family Summer Undergraduate Research Fellowship (SURF),These fellowships support undergraduate students from groups traditionally underrepresented in biomedical research to perform 10 weeks of research related to digestive diseases under the mentorship of top investigators in the fields of gastroenterology and hepatology.,https://researchops.web.illinois.edu/opportunity/aga-aman-armaan-ahmed-family-summer-undergraduate-research-fellowship-surf,Medicine & Health,Summer,1/31/25,American Gastroenterological Association,Varies,10 weeks,"$6,200",No Citizenship Requirements
The Student Airborne Research Program (SARP),"Work with NASA's airborne science laboratories, gaining hands-on research experience in atmospheric chemistry, air quality, ecology, and ocean biology. Operate instruments onboard an aircraft, meet outstanding faculty, and present your findings at a symposium!",https://researchops.web.illinois.edu/opportunity/student-airborne-research-program-sarp,"Natural Sciences, Science & Technology",Summer,1/31/25,National Institute of Aerospace,"Palmdale, CA",8 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
University of Arizona Summer Research Institute (SRI),"The Summer Research Institute (SRI) offers you an outstanding opportunity to learn how to conduct research, enjoy your summer, and prepare for graduate studies at The University of Arizona.",https://researchops.web.illinois.edu/opportunity/university-arizona-summer-research-institute-sri,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 1/31/25,University of Arizona,"Tucson, AZ",10 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Dynamic Experiences in Neuroscience to Diversify Research Internship Training Exposures for Students (DENDRITES),"The  program aims at encouraging and supporting the research and career development of students interested in basic, clinical, and translational neuroscience.",https://researchops.web.illinois.edu/opportunity/dynamic-experiences-neuroscience-diversify-research-internship-training-exposures,"Medicine & Health, Science & Technology",Summer,Anticipated 1/31/25,University of Chicago,"Chicago, IL",9 weeks,"$5,040","US Citizen, National, or Permanent Resident required"
Chemical Biology Summer Program (ChBSP),"The 10-week  offers undergraduates a research experience intersecting chemistry and biomedicine. Accepted students adapt chemistry skills, attend seminars, workshops, and present a concluding poster.",https://researchops.web.illinois.edu/opportunity/chemical-biology-summer-program-chbsp,Science & Technology,Summer,Anticipated 1/31/25,Memorial Sloan Kettering Cancer Center,"New York, NY",10 weeks,"$6,500",No Citizenship Requirements
Low-Dimensional Materials for Transducers (LDM4T) - Summer Research in Korea,This program aims at providing frontier research experiences in the development of low-dimensional materials for transducers (LDM4T) at university laboratories in Korea.,https://researchops.web.illinois.edu/opportunity/low-dimensional-materials-transducers-ldm4t-summer-research-korea,Science & Technology,Summer,1/31/25,University of Central Florida,South Korea,8 weeks,,"US Citizen, National, or Permanent Resident required"
Chemical Biology Summer Program (ChBSP),"The 10-week  offers undergraduates a research experience intersecting chemistry and biomedicine. Accepted students adapt chemistry skills, attend seminars, workshops, and present a concluding poster.",https://researchops.web.illinois.edu/opportunity/chemical-biology-summer-program-chbsp,Science & Technology,Summer,Anticipated 1/31/25,Memorial Sloan Kettering Cancer Center,"New York, NY",10 weeks,"$6,500",No Citizenship Requirements
Summer Undergraduate Program in Engineering Research at Berkeley (SUPERB) - Artificial Intelligence for Engineering (AI4E),"SUPERB-AI4E is REU in AI for Engineering, addressing challenges in machine learning, safety, and design unpredictability.",https://researchops.web.illinois.edu/opportunity/summer-undergraduate-program-engineering-research-berkeley-superb-artificial,Science & Technology,Summer,Anticipated 1/31/25,"University of California, Berkeley","Berkeley, CA",9 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Tree Science in the Anthropocene,"The  program uses trees as model systems to investigate questions related to evolution, ecology, conservation, and management in natural and built environments. Participate in a paid, intensive, 10-week summer program, with housing and travel provided, conducting an independent research project under the guidance of a research mentor.",https://researchops.web.illinois.edu/opportunity/tree-science-anthropocene,"Natural Sciences, Science & Technology",Summer,1/31/25,The Morton Arboretum,"Lisle, IL",10 weeks,"$7,500","US Citizen, National, or Permanent Resident required"
REU in Advanced Materials,"The UC San Diego MRSEC REU program offers full-time summer research opportunities in materials science, focusing on predictive assemblies and engineered living materials, with participants working alongside faculty from various departments. Students receive extensive training, mentoring, and professional development, culminating in the chance to present their research at a conference.",https://researchops.web.illinois.edu/opportunity/reu-advanced-materials,"Natural Sciences, Science & Technology",Summer,1/31/25,"University of California, San Diego","La Jolla, CA",8 weeks,"$4,800","US Citizen, National, or Permanent Resident required"
The Student Airborne Research Program (SARP),"Work with NASA's airborne science laboratories, gaining hands-on research experience in atmospheric chemistry, air quality, ecology, and ocean biology. Operate instruments onboard an aircraft, meet outstanding faculty, and present your findings at a symposium!",https://researchops.web.illinois.edu/opportunity/student-airborne-research-program-sarp,"Natural Sciences, Science & Technology",Summer,1/31/25,National Institute of Aerospace,"Palmdale, CA",8 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
AGA-Aman Armaan Ahmed Family Summer Undergraduate Research Fellowship (SURF),These fellowships support undergraduate students from groups traditionally underrepresented in biomedical research to perform 10 weeks of research related to digestive diseases under the mentorship of top investigators in the fields of gastroenterology and hepatology.,https://researchops.web.illinois.edu/opportunity/aga-aman-armaan-ahmed-family-summer-undergraduate-research-fellowship-surf,Medicine & Health,Summer,1/31/25,American Gastroenterological Association,Varies,10 weeks,"$6,200",No Citizenship Requirements
Dynamic Experiences in Neuroscience to Diversify Research Internship Training Exposures for Students (DENDRITES),"The  program aims at encouraging and supporting the research and career development of students interested in basic, clinical, and translational neuroscience.",https://researchops.web.illinois.edu/opportunity/dynamic-experiences-neuroscience-diversify-research-internship-training-exposures,"Medicine & Health, Science & Technology",Summer,Anticipated 1/31/25,University of Chicago,"Chicago, IL",9 weeks,"$5,040","US Citizen, National, or Permanent Resident required"
University of Arizona Summer Research Institute (SRI),"The Summer Research Institute (SRI) offers you an outstanding opportunity to learn how to conduct research, enjoy your summer, and prepare for graduate studies at The University of Arizona.",https://researchops.web.illinois.edu/opportunity/university-arizona-summer-research-institute-sri,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 1/31/25,University of Arizona,"Tucson, AZ",10 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
University of Colorado SMART Program,"The SMART program aims to improve access to STEM research for students from groups that are underrepresented in science, math and engineering, including racial/ethnic minorities, first-generation college students, Pell grant recipients, individuals with disabilities, and students who have overcome significant challenges in pursuit of higher education.",https://researchops.web.illinois.edu/opportunity/university-colorado-smart-program,"Medicine & Health, Natural Sciences, Science & Technology",Summer,2/1/25,"University of Colorado, Boulder","Boulder, CO",10 weeks,"$5,500","US Citizen, National, or Permanent Resident required"
Program in Interdisciplinary Approaches to Environmental Adaptation Research and Training (PIACCART),"The PIACCART REU offers students interdisciplinary research experience in climate change adaptation, addressing social, cultural, economic, political, and scientific challenges. It aims to enhance participants' research skills and encourage graduate studies in related fields.",https://researchops.web.illinois.edu/opportunity/program-interdisciplinary-approaches-environmental-adaptation-research-and-training,"Business & Economics, Natural Sciences, Social Sciences & Behavior",Summer,2/1/25,University of South Florida,"St. Petersburg, FL",9 weeks,,"US Citizen, National, or Permanent Resident required"
Amgen Scholars Program at Washington University in St. Louis,"This program offers  students a summer laboratory experience in biomedical research. The program includes various professional and networking opportunities, with participants receiving stipends, housing, and travel support.",https://researchops.web.illinois.edu/opportunity/amgen-scholars-program-washington-university-st-louis,"Medicine & Health, Science & Technology",Summer,2/1/25,Washington University in St. Louis,"St. Louis, MO",10 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Summer Training as Research Scholars Program,"In this program, students are immersed in multidisciplinary research, from basic science to treatment development. They are mentored by faculty members of the Graduate Medical Sciences and assigned to research projects based on their interests.",https://researchops.web.illinois.edu/opportunity/summer-training-research-scholars-program,"Medicine & Health, Science & Technology",Summer,2/1/25,Boston University,"Boston, Massachusetts",9 weeks,,"US Citizen, National, or Permanent Resident required"
Plant Genome and Programmable Plant Systems REU,"This program provides research experience to students interested in biological research, biological engineering, digital agriculture, and bioinformatics. Participants will work to develop novel technologies which improve the scientific understanding of plant systems.",https://researchops.web.illinois.edu/opportunity/plant-genome-and-programmable-plant-systems-reu,"Agriculture & Food Sciences, Natural Sciences, Science & Technology",Summer,2/1/25,Boyce Thompson Institute & Cornell University,"Ithaca, NY",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Johns Hopkins Summer Internship Program (SIP),The Johns Hopkins SIP provides a summer research experience in biomedical and public health research. There are 11 different programs under the SIP umbrella ranging in topics from nanotechnology and genomics to health disparities among communities.,https://researchops.web.illinois.edu/opportunity/johns-hopkins-summer-internship-program-sip,Medicine & Health,Summer,2/1/25,Johns Hopkins University,"Baltimore, MD",10 weeks,"$3,000","US Citizen, National, or Permanent Resident required"
Summer Undergraduate Research Fellowship in Neuroscience (SURF-N),"SURF-N provides a 10-week hands-on training opportunity to undergraduates interested in several disciplines of neuroscience such as obesity, addiction, neurotoxicity, development, and the study of neurological and psychiatric disorders. Along with gaining laboratory experience, students will participate in a poster presentation event, and present their individual research findings.",https://researchops.web.illinois.edu/opportunity/summer-undergraduate-research-fellowship-neuroscience-surf-n,"Medicine & Health, Social Sciences & Behavior",Summer,2/1/25,University of Cincinnati,"Cincinnati, OH",10 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
Amgen Scholars Program at Caltech,"Scholars in the program travel to the host institution to conduct a 10-week research project during the summer. Students collaborate with mentors to develop their own research topic which is presented in the form of a technical paper and an oral presentation at Seminar Day. Participants receive a stipend along with housing, board, and travel subsidies.",https://researchops.web.illinois.edu/opportunity/amgen-scholars-program-caltech,"Medicine & Health, Natural Sciences",Summer,2/1/25,California Institute of Technology,"Pasadena, CA",10 weeks,"$7,100","US Citizen, National, or Permanent Resident required"
Undergraduate Pipeline Network (UPN) Summer Research Program,The Undergraduate Pipeline Network summer research experience seeks to cultivate students' interest in research while helping them attain skills needed to apply for and succeed in post-baccalaureate education. The program provides the opportunity for students to choose from several areas of research at the University of New Mexico's Health Sciences Center.,https://researchops.web.illinois.edu/opportunity/undergraduate-pipeline-network-upn-summer-research-program,Medicine & Health,Summer,2/1/25,University of New Mexico,"Albuquerque, NM",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Search for Extraterrestrial Intelligence (SETI) REU,"SETI allows students to explore a wide range of projects in astronomy, astrobiology, and planetary science with NASA scientists, engage in hands-on research, and present their findings at a national conference.",https://researchops.web.illinois.edu/opportunity/search-extraterrestrial-intelligence-seti-reu,"Natural Sciences, Science & Technology",Summer,Anticipated 2/1/25,SETI Institute,"Mountain View, CA",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Bioinspired Materials Research Science and Engineering Center REU,Ten week summer research opportunity for students interested in materials science related research.,https://researchops.web.illinois.edu/opportunity/bioinspired-materials-research-science-and-engineering-center-reu,"Natural Sciences, Science & Technology",Summer,2/1/25,Brandeis University,"Waltham, MA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Gates Summer Internship Program (GSIP),"GSIP is an 11-week internship that supports the future of biomedical research through undergraduates pursuing careers in stem cell biology and regenerative medicine. Selected students work full-time in cutting-edge laboratories, attend seminars, engage in professional development, and present research projects.",https://researchops.web.illinois.edu/opportunity/gates-summer-internship-program-gsip,"Medicine & Health, Science & Technology",Summer,Anticipated 2/1/25,University of Colorado,"Aurora, CO",11 weeks,"$6,500",No Citizenship Requirements
Integration of Modern Optoelectronic Materials on Demand (IMOD) REU - Optoelectronics and Quantum Materials,"The IMOD Research Experience for Undergraduates (REU) program supports a select group of undergraduates, community college, and tribal college students to participate in authentic research in chemical synthesis of quantum photonic materials and integration printable electronic applications under the mentorship of world-class faculty and graduate students.",https://researchops.web.illinois.edu/opportunity/integration-modern-optoelectronic-materials-demand-imod-reu-optoelectronics-and-quantum,Science & Technology,Summer,2/1/25,Various,Various,10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Nanotechnology for Biology and Bioengineering REU,"The Institute for NanoBioTechnology offers students a chance to participate in research projects in the exciting and rapidly growing area of nanobiotechnology, a place where biology, medicine, engineering, and nanoscience meet.",https://researchops.web.illinois.edu/opportunity/nanotechnology-biology-and-bioengineering-reu,"Medicine & Health, Natural Sciences, Science & Technology",Summer,2/1/25,Johns Hopkins University,"Baltimore, MD",10 weeks,,"US Citizen, National, or Permanent Resident required"
Mechanistic Biology Summer Program (MBSP),"Explore biology research through hands-on experience in cutting-edge laboratories, faculty seminars, workshops, and culminate your findings at a symposium!",https://researchops.web.illinois.edu/opportunity/mechanistic-biology-summer-program-mbsp,"Medicine & Health, Science & Technology",Summer,Anticipated 2/1/25,Memorial Sloan Kettering Cancer Center,"New York, NY",10 weeks,"$6,500",No Citizenship Requirements
UT Southwestern Summer Undergraduate Research Fellowship (SURF),"This program offers an immersive 10-week research experience for college students preparing for careers in biomedical research. Fellows gain hands-on lab experience, execute experiments, and present their research findings.",https://researchops.web.illinois.edu/opportunity/ut-southwestern-summer-undergraduate-research-fellowship-surf,Medicine & Health,Summer,2/1/25,UT Southwestern,"Dallas, TX",10 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Van Andel Institute Research Internship Program,"Van Andel Institute (VAI) offers a research internship program designed to provide undergraduate students the opportunity to work closely with a research mentor on a project exploring the cellular, molecular and genetic basis of human disease. The goal of this program is to introduce undergraduate students to the concepts and practice of design, implementation, interpretation and presentation of basic biomedical research.",https://researchops.web.illinois.edu/opportunity/van-andel-institute-research-internship-program,Medicine & Health,Summer,2/1/25,Van Andel Institute,"Grand Rapids, MI",10 weeks,"$6,000",No Citizenship Requirements
Amgen Scholars Program at Caltech,"Scholars in the program travel to the host institution to conduct a 10-week research project during the summer. Students collaborate with mentors to develop their own research topic which is presented in the form of a technical paper and an oral presentation at Seminar Day. Participants receive a stipend along with housing, board, and travel subsidies.",https://researchops.web.illinois.edu/opportunity/amgen-scholars-program-caltech,"Medicine & Health, Natural Sciences",Summer,2/1/25,California Institute of Technology,"Pasadena, CA",10 weeks,"$7,100","US Citizen, National, or Permanent Resident required"
Johns Hopkins Summer Internship Program (SIP),The Johns Hopkins SIP provides a summer research experience in biomedical and public health research. There are 11 different programs under the SIP umbrella ranging in topics from nanotechnology and genomics to health disparities among communities.,https://researchops.web.illinois.edu/opportunity/johns-hopkins-summer-internship-program-sip,Medicine & Health,Summer,2/1/25,Johns Hopkins University,"Baltimore, MD",10 weeks,"$3,000","US Citizen, National, or Permanent Resident required"
Mechanistic Biology Summer Program (MBSP),"Explore biology research through hands-on experience in cutting-edge laboratories, faculty seminars, workshops, and culminate your findings at a symposium!",https://researchops.web.illinois.edu/opportunity/mechanistic-biology-summer-program-mbsp,"Medicine & Health, Science & Technology",Summer,Anticipated 2/1/25,Memorial Sloan Kettering Cancer Center,"New York, NY",10 weeks,"$6,500",No Citizenship Requirements
AI and Machine Learning REU,"Students are invited to apply to participate in a research experience program focused on AI and machine learning. This program aims to change the perceptions of who can become an AI scientist or engineer, working to create a more inclusive AI future.",https://researchops.web.illinois.edu/opportunity/ai-and-machine-learning-reu,"Data Science, Science & Technology",Summer,2/1/25,Princeton University,"Princeton, New Jersey",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
NIH Center for Molecular Studies in Digestive and Liver Diseases Student Scholars Program,"Students accepted to the Undergraduate Student Scholars Program in the NIH Center for Molecular Studies in Digestive and Liver Diseases at the University of Pennsylvania participate in research, attend summer lectures and presentations, and present their research at the end of the summer.",https://researchops.web.illinois.edu/opportunity/nih-center-molecular-studies-digestive-and-liver-diseases-student-scholars-program,Medicine & Health,Summer,2/2/25,University of Pennsylvania,"Philadelphia, PA",10 weeks,"$5,000",No Citizenship Requirements
Summer Undergraduate Research Fellowship in Neuroscience (SURF-N),"SURF-N provides a 10-week hands-on training opportunity to undergraduates interested in several disciplines of neuroscience such as obesity, addiction, neurotoxicity, development, and the study of neurological and psychiatric disorders. Along with gaining laboratory experience, students will participate in a poster presentation event, and present their individual research findings.",https://researchops.web.illinois.edu/opportunity/summer-undergraduate-research-fellowship-neuroscience-surf-n,"Medicine & Health, Social Sciences & Behavior",Summer,2/1/25,University of Cincinnati,"Cincinnati, OH",10 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
Undergraduate Pipeline Network (UPN) Summer Research Program,The Undergraduate Pipeline Network summer research experience seeks to cultivate students' interest in research while helping them attain skills needed to apply for and succeed in post-baccalaureate education. The program provides the opportunity for students to choose from several areas of research at the University of New Mexico's Health Sciences Center.,https://researchops.web.illinois.edu/opportunity/undergraduate-pipeline-network-upn-summer-research-program,Medicine & Health,Summer,2/1/25,University of New Mexico,"Albuquerque, NM",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Physics and Astronomy REU,"This program in physics and astronomy provides students with hands-on research experience alongside faculty mentors, workshops, and collaborative activities with other LSU summer programs. Students also gain additional professional development in areas such as ethics, intellectual property, and graduate school preparation.",https://researchops.web.illinois.edu/opportunity/physics-and-astronomy-reu,"Natural Sciences, Science & Technology",Summer,2/1/25,Louisiana State University,"Baton Rouge, LA",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
"Weather, Climate, and Society (WCS) REU","This 9-week opportunity allows you to explore diverse topics, from hurricane decision-making to socioeconomic impacts, and benefit from mentorship, workshops, and hands-on training in social and physical research techniques.",https://researchops.web.illinois.edu/opportunity/weather-climate-and-society-wcs-reu,"Natural Sciences, Social Sciences & Behavior",Summer,Anticipated 2/1/25,University of South Florida,"Tampa, FL",9 weeks,,"US Citizen, National, or Permanent Resident required"
Atmospheric & Geographic Sciences REU,"This REU pairs undergraduate students with research mentors at the University of Oklahoma to conduct research in a wide-ranging meteorology, climate, radar engineering, geography, environmental sustainability, and interdisciplinary topics.",https://researchops.web.illinois.edu/opportunity/atmospheric-geographic-sciences-reu,"Natural Sciences, Science & Technology",Summer,Anticipated 2/3/25,University of Oklahoma,"Norman, OK",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Summer Research Early Identification Program (SR-EIP),"SR-EIP is a 10-week fully paid summer internship that provides undergraduates with mentored research experiences in life and physical sciences, social and behavioral sciences, and humanities. Students will receive professional development mentoring on applying to graduate programs and create an oral or poster presentation to be presented at the Leadership Alliance National Symposium.",https://researchops.web.illinois.edu/opportunity/summer-research-early-identification-program-sr-eip,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/3/25,The Leadership Alliance,Varies,10 weeks,,"US Citizen, National, or Permanent Resident required"
Humanity in Action Fellowship,"This international fellowship provides undergraduates with the opportunity to explore issues of democracy, pluralism, human rights, and social justice in foreign provinces. Students will study academia, arts, and activism in any of the following capitals: Amsterdam, Berlin, Copenhagen, Sarajevo, and Warsaw.",https://researchops.web.illinois.edu/opportunity/humanity-action-fellowship,Humanities & Arts,Summer,Anticipated 2/3/25,Humanity in Action,"Brooklyn, NY",4 weeks,,No Citizenship Requirements
Waves in the Universe and Technology REU,"Washington State University offers a 10-week physics and astronomy research experience for undergraduates, focusing on diverse projects centered around the concept of waves.",https://researchops.web.illinois.edu/opportunity/waves-universe-and-technology-reu,Science & Technology,Summer,2/2/25,Washington State University,"Pullman, WA",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Inclusive NOAA Fisheries Internship (IN FISH) REU,"TheIN FISH program offers a 10-week paid program with coursework, professional development, research projects, and networking opportunities in projects spanning from habitat science to international affairs.",https://researchops.web.illinois.edu/opportunity/inclusive-noaa-fisheries-internship-fish-reu,"Agriculture & Food Sciences, Business & Economics, Data Science, Natural Sciences",Summer,2/3/25,NOAA Fisheries,Varies,10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Research Fellowship Program at Presbyterian Historical Society,"Projects in all fields of study, including history, American studies, mission history, architecture, and ecumenism are invited. In accepting this grant, fellows agree to submit a report to the society within two months of their last visit. The society requests a copy of each final work for its holdings, and fellows are encouraged to adapt their research for publication in the Journal of Presbyterian History.",https://researchops.web.illinois.edu/opportunity/research-fellowship-program-presbyterian-historical-society,Humanities & Arts,Summer,2/3/25,Presbyterian Historical Society,"Philadelphia, PA",4 weeks,"$2,500",No Citizenship Requirements
Artificial Intelligence for Computational Creativity REU,"The Brown Computer Science REU Site is a fully-funded summer program offering students the opportunity to conduct research on creative AI applications under the mentorship of Brown faculty and graduate students. Participants will have opportunities to engage in hands-on research, career development activities, and social events, fostering skills in AI, machine learning, and personal expression through technology.",https://researchops.web.illinois.edu/opportunity/artificial-intelligence-computational-creativity-reu,"Data Science, Science & Technology",Summer,2/3/25,Brown University,"Providence, RI",9 weeks,"$6,480","US Citizen, National, or Permanent Resident required"
Mayo Clinic Summer Undergraduate Research Fellowship (SURF),"Through this program, outstanding undergrads interested in a career in biomedical research become fully immersed in the research and culture of a major medical center.",https://researchops.web.illinois.edu/opportunity/mayo-clinic-summer-undergraduate-research-fellowship-surf,Medicine & Health,Summer,2/3/25,University of Illinois at Urbana-Champaign,"Champaign, IL",10 weeks,"$6,000",No Citizenship Requirements
Research in Industrial Projects for Students (RIPS) – Singapore,"In collaboration with the Institute for Mathematical Sciences (IMS) at the National University of Singapore (NUS), this program recruits U.S. students to work on cross-cultural teams with students from NUS and other Asian universities on four projects, each sponsored by a company based in the region.",https://researchops.web.illinois.edu/opportunity/research-industrial-projects-students-rips-singapore,Science & Technology,Summer,2/3/25,University of California at Los Angeles,Singapore,10 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
Academic Summer Undergraduate Research Experience (ASURE),"Dartmouth's ASURE provides summer research experience to undergraduates. Focusing on academic research, networking, and mentoring, ASURE prepares students for future graduate research training.",https://researchops.web.illinois.edu/opportunity/academic-summer-undergraduate-research-experience-asure,"Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/3/25,Dartmouth College,"Hanover, NH",8 weeks,,No Citizenship Requirements
Yale BioMed Amgen Scholars Program,"In this research-intensive program, students are exposed to the knowledge, skills, and resources to help them succeed as scientists or physician-scientists. They are mentored by a research mentor in hands-on research techniques, data acquisition, and analysis.",https://researchops.web.illinois.edu/opportunity/yale-biomed-amgen-scholars-program,Medicine & Health,Summer,2/3/25,Yale University,"New Haven, Connecticut",9 Weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Biomedical Research for University Students in Health Sciences (BRUSH),This program offers hands-on research opportunities for undergraduate students in environmental and health sciences.,https://researchops.web.illinois.edu/opportunity/biomedical-research-university-students-health-sciences-brush,"Medicine & Health, Natural Sciences",Summer,2/3/25,Michigan State University,"East Lansing, MI",10 weeks,"$5,700","US Citizen, National, or Permanent Resident required"
DEEPS Leadership Alliance REU,"The Department of Earth, Environmental & Planetary Sciences at Brown University (DEEPS) Leadership Alliance REU offers a 9-week summer internship conducting research into the fields of earth and environmental sciences, physics, chemistry, engineering, math, biology, and computer science. Students will receive a competitive stipend and the opportunity to present their research at the Leadership Alliance National Symposium & the Summer Research Symposium at Brown.",https://researchops.web.illinois.edu/opportunity/deeps-leadership-alliance-reu,"Natural Sciences, Science & Technology",Summer,2/3/25,Brown University,"Providence, RI",9 weeks,"$5,400 + housing","US Citizen, National, or Permanent Resident required"
