,Description,Research Area,Opportunity Timing,Deadline Date
112,"Inclusive NOAA Fisheries Internship (IN FISH) REUTheIN FISH program offers a 10-week paid program with coursework, professional development, research projects, and networking opportunities in projects spanning from habitat science to international affairs.","Agriculture & Food Sciences, Business & Economics, Data Science, Natural Sciences",Summer,2/3/25
113,"Summer Research Early Identification Program (SR-EIP)SR-EIP is a 10-week fully paid summer internship that provides undergraduates with mentored research experiences in life and physical sciences, social and behavioral sciences, and humanities. Students will receive professional development mentoring on applying to graduate programs and create an oral or poster presentation to be presented at the Leadership Alliance National Symposium.","Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/3/25
114,"Atmospheric & Geographic Sciences REUThis REU pairs undergraduate students with research mentors at the University of Oklahoma to conduct research in a wide-ranging meteorology, climate, radar engineering, geography, environmental sustainability, and interdisciplinary topics.","Natural Sciences, Science & Technology",Summer,Anticipated 2/3/25
115,"Research in Industrial Projects for Students (RIPS) – SingaporeIn collaboration with the Institute for Mathematical Sciences (IMS) at the National University of Singapore (NUS), this program recruits U.S. students to work on cross-cultural teams with students from NUS and other Asian universities on four projects, each sponsored by a company based in the region.",Science & Technology,Summer,2/3/25
116,"Research Fellowship Program at Presbyterian Historical SocietyProjects in all fields of study, including history, American studies, mission history, architecture, and ecumenism are invited. In accepting this grant, fellows agree to submit a report to the society within two months of their last visit. The society requests a copy of each final work for its holdings, and fellows are encouraged to adapt their research for publication in the Journal of Presbyterian History.",Humanities & Arts,Summer,2/3/25
117,"Artificial Intelligence for Computational Creativity REUThe Brown Computer Science REU Site is a fully-funded summer program offering students the opportunity to conduct research on creative AI applications under the mentorship of Brown faculty and graduate students. Participants will have opportunities to engage in hands-on research, career development activities, and social events, fostering skills in AI, machine learning, and personal expression through technology.","Data Science, Science & Technology",Summer,2/3/25
118,"Mayo Clinic Summer Undergraduate Research Fellowship (SURF)Through this program, outstanding undergrads interested in a career in biomedical research become fully immersed in the research and culture of a major medical center.",Medicine & Health,Summer,2/3/25
119,"Academic Summer Undergraduate Research Experience (ASURE) Dartmouth's ASURE provides summer research experience to undergraduates. Focusing on academic research, networking, and mentoring, ASURE prepares students for future graduate research training.","Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/3/25
120,"DEEPS Leadership Alliance REUThe Department of Earth, Environmental & Planetary Sciences at Brown University (DEEPS) Leadership Alliance REU offers a 9-week summer internship conducting research into the fields of earth and environmental sciences, physics, chemistry, engineering, math, biology, and computer science. Students will receive a competitive stipend and the opportunity to present their research at the Leadership Alliance National Symposium & the Summer Research Symposium at Brown.","Natural Sciences, Science & Technology",Summer,2/3/25
121,"Undergraduate Summer Research Experience Program (CEMB)The CEMB REU program seeks students for a summer research experience in various STEM fields on-campus in Philadelphia or St. Louis.  Students work with research groups, matched based on their interests and experience.","Medicine & Health, Natural Sciences, Science & Technology",Summer,2/3/25
122,Biomedical Research for University Students in Health Sciences (BRUSH)This program offers hands-on research opportunities for undergraduate students in environmental and health sciences.,"Medicine & Health, Natural Sciences",Summer,2/3/25
123,Steiner Summer Yiddish ProgramThe Steiner Summer Yiddish Program offers motivated students the opportunity to immerse themselves in Yiddish language and culture. Participants study with renowned scholars and build a community of yidishkayt in a supportive residential setting.,Humanities & Arts,Summer,2/3/25
124,"Yale BioMed Amgen Scholars ProgramIn this research-intensive program, students are exposed to the knowledge, skills, and resources to help them succeed as scientists or physician-scientists. They are mentored by a research mentor in hands-on research techniques, data acquisition, and analysis.",Medicine & Health,Summer,2/3/25
125,"WHOI Summer Student FellowshipThe Woods Hole Oceanographic Institution Summer Student Fellowship provides research opportunities in oceanography, marine biology, and related disciplines. It is a prestigious program where undergraduate students can engage in hands-on research experiences and work alongside leading scientists at the renowned institution.","Natural Sciences, Science & Technology",Summer,Anticipated 2/4/25
126,"Cancer Research Summer Internship ProgramAs part of its Cancer Biology Training Program, the University of Michigan Rogel Cancer Center provides exposure to cancer research for highly motivated and talented college undergraduates. This program gives successful applicants an opportunity to explore potential careers in the field of cancer research.  Interns work directly in a cancer laboratory setting. Program mentors give presentations on their work in cancer every other week at an informal luncheon that interns are required to attend. At the end of the internship program, each intern will be asked to give a short presentation on their work.",Medicine & Health,Summer,Anticipated 2/4/25
127,"Meharry Cancer Summer Undergraduate Research Program (SURP)The Meharry Cancer SURP is a 10-week intensive, hands-on research experience for undergraduate students. The overall goals of the program are to expose students to different types of cancer research (clinical, biomedical, and community-based) and increase their awareness of cancer health disparities.","Medicine & Health, Natural Sciences",Summer,2/5/25
128,"Community-Academic Scholars ProgramThe Community-Academic Scholars Initiative provides undergraduates from all disciplines with an immersive 10-week community-based summer research experience with guidance from a faculty mentor and community partner. Each scholar will contribute to a research project designed to directly benefit community members addressing critical issues related to health, poverty, and/or social inequality.","Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 2/5/25
129,"Chicago Cancer Health Equity Collaborative (ChicagoCHEC Fellowship)The ChicagoCHEC Fellows program consists of a paid full-time summer research and enrichment experience in Chicago. Afterward, students will have the option to be placed in a research team during the academic year for course credit (e.g., independent study) or service learning credit. Research team placement is not guaranteed and is dependent on project availability. All Fellows will have access to ongoing career advancement activities and must participate in periodic performance monitoring of career progression.",Medicine & Health,Summer,2/5/25
130,"Cornell NanoScale Science and Technology Facility (CNF) REUCNF REU offers interns hands-on experience with nanofabrication, collaboration with academia and industry researchers, training on diverse nanofab tools, and the chance to become independent nanoscale researchers.","Natural Sciences, Science & Technology",Summer,2/6/25
131,"Great Lakes Bioenergy Research Center (GLBRC) Summer Undergraduate Research Program Students will learn the process of research: reading literature, formulating questions and hypotheses, designing a study, collecting and analyzing data, and presenting your results as a research poster and presentation. Disciplines include biochemistry, plant biology, genetics, microbiology, ecology, and crop sciences.","Medicine & Health, Natural Sciences",Summer,2/7/25
132,"Plant Biology and Conservation (PBC) REU: Genes to EcosystemsExplore the Chicago Botanic Garden's immersive summer REU internship with a focus on plant biology and conservation. Foster diversity in biological sciences and gain hands-on experience through workshops, field trips, and mentorship.",Natural Sciences,Summer,Anticipated 2/8/25
133,"The Rutgers English Diversity Institute (REDI)REDI is a one-week program designed to encourage current students and recent graduates from diverse cultural, economic, and ethnic backgrounds to consider graduate study in English-language literature. REDI alums have an amazing track record in gaining admission to prestigious English PhD programs.",Humanities & Arts,Summer,Anticipated 2/8/25
134,"Undergraduate Research Internships in Seismology ProgramAs a URISE intern, you'll engage in an 8 to 10-week seismological research project, working on field deployments or lab analyses. The program emphasizes scientific inquiry, skill development, and finalizes with national presentations.","Natural Sciences, Science & Technology",Summer,Anticipated 2/9/25
135,"Injury and Violence Prevention REU (INSIGHT)This 8-week internship allows students to research trauma intervention, violence prevention, injury care, and more alongside the University of Washington faculty.","Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 2/9/25
136,SMALL Mathematics & Statistics REUThe SMALL Undergraduate Research Project is a nine-week residential summer program in which undergraduates investigate open research problems in mathematics.,Science & Technology,Summer,Anticipated 2/9/25
137,"Marine Science REU at the Shannon Point Marine CenterStudents will spend nine weeks conducting original research alongside faculty advisers. Students engage in professional development, outreach events, and produce written and oral reports on projects covering topics like estuarine dynamics, biogeochemistry, and ocean acidification, all while enjoying access to the Pacific Northwest's diverse marine and coastal environments.",Natural Sciences,Summer,2/10/25
138,"University of Missouri Materials Science & Engineering ProgramThis REU Site trains researchers to think creatively from an early stage. The projects focus on understanding and predicting relationships for micro- and nano-structured materials across a wide spectrum of applications, including sensors, batteries, reactors, and implantable devices. Students in this program learn cutting-edge materials research approaches that include atomistic simulation, coarse-grain modeling, and a suite of materials design / fabrication / characterization techniques.","Medicine & Health, Science & Technology",Summer,Anticipated 2/10/25
139,"University of Maryland Summer Research Initiative (SRI)SRI offers rising juniors/seniors from underrepresented groups with an 8-week intensive experience to develop research skills and learn about doctoral training in social, behavioral & economic sciences. Students will receive lab experience, attend workshops, and enhance their knowledge of the graduate application process.","Humanities & Arts, Social Sciences & Behavior",Summer,2/10/25
140,"Michigan Humanities Emerging Research Scholars Program (MICHHERS)This opportunity is designed for rising seniors, from diverse cultural, economic, geographic, and ethnic backgrounds to consider pursuing a doctoral degree in the humanities. Students will learn the latest methodologies and developments in their field, develop a research project, and will receive practical instruction on applying to graduate school.",Humanities & Arts,Summer,2/10/25
141,Summer Research Opportunities Program (SROP)The goal of the program is to increase the number of underrepresented students who pursue graduate study and research careers. SROP helps prepare undergraduates for graduate study through intensive research experiences with faculty mentors and enrichment activities.,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/10/25
142,"Shannon Point Marine Center REUDive into marine research at Shannon Point Marine Center! Explore topics like ocean acidification, marine ecology, and environmental toxicology. Engage with the environment and showcase your findings with written and oral reports.",Natural Sciences,Summer,2/10/25
143,"Arctic REU GreenlandThis NSF-REU provides a summer opportunity in geologic mapping, structural geology, and earthquake geodynamics. Students will conduct fieldwork in Greenland, analyzing Precambrian rocks to better understand how earthquake ruptures propagate through bedrock in the deeper reaches of Earth's crust.",Natural Sciences,Summer,Anticipated 2/11/25
144,"The Pocono Lake Ecological Observatory Network (PLEON) Research InternshipsPLEON offers students working toward a degree in natural sciences, aquatic ecology, conservation, and management an opportunity to conduct aquatic fieldwork in Lake Wallenpaupack, PA. Interns will gain experience in lake ecology and water quality sampling methodology, quantitative laboratory analysis, and science communication and networking.",Natural Sciences,Summer,Anticipated 2/11/25
145,"Pritzker School of Molecular Engineering REUThis summer research program welcomes students to engage in mentored scientific research with guidance from researchers, offering training in science communication, lab safety, and ethics, as well as resources for graduate school applications and report writing. Students work 40 hours a week on a research project tailored to their interests.","Medicine & Health, Natural Sciences, Science & Technology",Summer,2/13/25
146,SHyNE REU ProgramSHyNE Resource has developed a unique REU program providing facilities‐focused research projects for four undergraduate students. Research projects are developed in close collaboration between SHyNE facility staff and Northwestern faculty. This combination of a traditional REU research experience with the hands‐on instrumentation focus provides an opportunity for students to learn new skills and enrich their experience.,Science & Technology,Summer,Anticipated 2/13/25
147,FBRI Molecular Visualization SURF ProgramThe FBRI Molecular Visualization SURF program is a 10-week long summer program that gives students the opportunity to participate in research using imaging technologies to understand appropriate application of each technology in understanding biological processes.,Medicine & Health,Summer,2/14/25
148,"Summer Research Internship in Medical SciencesThrough this nine-week program, participants will work on their own research projects under the guidance of an MU School of Medicine faculty member and present results at a poster forum at the end of the session. Participants will learn how to write abstracts and design posters to prepare for the poster forum.",Medicine & Health,Summer,2/14/25
149,"Data Analytics for Science Immersion Experience (DASIE)DASIE, in partnership with Dow, PPG Paints, Accenture, and Posit, addresses the growing need for data-savvy scientists while promoting diversity in STEM. Targeting underrepresented students, the program offers immersive experiences in data analytics, networking with industry leaders, and mentorship opportunities. Students undergo classroom learning at Carnegie Mellon University followed by hands-on training at the Global Dow Center in Michigan, fostering a unique blend of education and industry exposure. DASIE equips participants with cutting-edge skills, industry insights, and valuable connections to thrive in STEAM fields.","Data Science, Science & Technology, Social Sciences & Behavior",Summer,2/14/25
150,"Synthesis, Assembly, and Characterization of Soft Matter REUCleveland State University's REU calls for undergraduates interested in physics and engineering for a 10-week interdisciplinary soft matter research, fostering STEM pathways with mentoring and networking.","Medicine & Health, Science & Technology",Summer,Anticipated 2/14/25
151,"Summer Geometry InitiativeThe Summer Geometry Initiative (SGI) is a six-week paid summer research program introducing undergraduate and graduate students to the field of geometry processing.  Geometry processing has a long history of breakthrough developments that have guided design of 3D tools for computer vision, additive manufacturing, scientific computing, and other disciplines.  Algorithms for geometry processing combine ideas from disciplines including differential geometry, topology, physical simulation, statistics, and optimization.",Science & Technology,Summer,Anticipated 2/14/25
153,"Robert F. Smith Internship Program at the National Museum of African American History & CultureInternships provide guided learning experiences consisting of hands-on training, mentoring, attendance at educational events, and cultivation of contacts for the next generation of researchers, scholars, curators, and other museum, library, preservation, and heritage professionals – individuals who will assume the mantle of identifying, documenting, curating, and digitizing treasured artifacts that reflect African American history and culture.","Humanities & Arts, Social Sciences & Behavior",Summer,Anticipated 2/14/25
154,"Life Sciences Summer Undergraduate Research Program (LSSURP)The LSSURP at the University of Minnesota aims to boost underrepresented students in life sciences. It offers a 10-week research program, mentorship, and activities fostering professional growth, culminating in a poster symposium.",Medicine & Health,Summer,Anticipated 2/15/25
155,"Distributed Research Experiences for Undergraduates (DREU)Explore computing research with DREU, a selective program offering summer research, mentorship, and insights into graduate studies for undergraduates.",Science & Technology,Summer,Anticipated 2/15/25
156,"Amgen Scholars Program at NIHAmgen Scholars at NIH spend the summer working side-by-side with some of the world's leading scientists, in an environment devoted exclusively to biomedical research.",Medicine & Health,Summer,Anticipated 2/15/25
157,"Archaeology Field School in PeruThis 3-credit course for Illinois students is an archaeological field school where students have the opportunity to engage in original research at the archaeological site of Cerro Blanco, a Chancay Administrative Center located in central Peru.","Natural Sciences, Social Sciences & Behavior",Summer,2/15/25
158,"Cellular and Molecular Biology of Stress Summer Research Program The Cellular and Molecular Biology of Stress Summer Research Program provides immersive, full-time bioscience research and professional development for undergraduate students as they prepare for graduate school and research careers in biology.","Medicine & Health, Natural Sciences",Summer,2/15/25
159,"Summer Undergraduate Research Experience in Toxicology (SURE Tox) programThe SURETox program aims to match participants with mentors, enhance research skills, offer didactic training, prepare students for presentations, provide networking opportunities, and share information about careers in toxicology.",Medicine & Health,Summer,2/15/25
160,"Pediatric Student Research Program (PSRP)The Pediatric Student Research Program (PSRP) was created with the purpose of introducing research to young investigators and to further their existing interest in research. The program includes seminars, mentored research and clinical shadowing experiences during the eight-week scenario, June through July. Selected participants work alongside experienced researchers. Opportunities range from bench to clinical to community-based research.",Medicine & Health,Summer,2/15/25
161,Biological Interactions Summer Research ProgramThrough this 10-week summer research program students will contribute to research examining the contributions of genetics and the environment on an organisms phenotype. There are a wide range of projects under this umbrella from botany and entomomlogy to medical genetics and biomolecular chemistry.,Natural Sciences,Summer,2/15/25
162,"Psychology Research Experience Program (PREP) PREP provides experience in scientific research to undergraduates from historically underrepresented populations who have an interest in a career in scientific psychology. The program features mentored laboratory research, intensive “bootcamps” on technical skills (e.g., R and Python programming), and faculty presentations.","Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/15/25
163,"Ellis Fischel Cancer Center Summer Research ProgramStudents in the Ellis Fischel Cancer Center Summer Research Program will participate in a fully loaded and exciting series of events including professional development seminars, key-note speakers, professional headshots, networking receptions, and immersive experiences.",Medicine & Health,Summer,2/16/25
164,"Microbial Biofilms REUThe goal of this REU is to provide talented and motivated students with a well-mentored, collaborative research experience on microbial biofilms that has the potential to impact their career trajectory and future academic successes.","Natural Sciences, Science & Technology",Summer,2/16/25
165,"NHERI REU Summer ProgramThe NHERI REU program is dedicated to helping undergraduate college students experience multi-hazard engineering as well as reconnaissance, cyberinfrastructure, data management, and simulation research. Hands-on, research-based projects introduce participants to a network of engineers, and students who work toward mitigating natural hazards and understanding the impact of natural hazards on society.",Science & Technology,Summer,2/16/25
166,"DOE Scholars ProgramParticipants in the DOE Scholars Program will have the unique opportunity to explore a career in the federal government with the DOE. The program covers a wide range of fields including: Energy Sources and Security, Clean Energy, Energy Efficiency, Climate Change, Environmental Management, Nuclear Security, Artificial Intelligence, Emergency Response, Management and Operations, Cyber Security, and Safeguards and Security.","Natural Sciences, Science & Technology",Summer,2/16/25
167,"Translational Biomedicine Summer Research ProgramThis training program seeks to recruit highly motivated and creative young scientists who are interested in developing innovative solutions to difficult problems in biology and medicine. The purpose of this 9-week, full-time summer research program is to provide undergraduates with an intensive research experience that emphasizes interdisciplinary and translational approaches across the bench-to-bedside continuum.","Medicine & Health, Natural Sciences",Summer,2/16/25
168,MU Alcohol Research Training Summer School & Internship (MU-ARTSS)The MU-ARTSS program is a week-long didactic program providing an intensive introduction to alcohol research followed by an 8-week research internship in the lab of a MU-ARTSS professor.,Medicine & Health,Summer,2/17/25
169,"Research and Education for the Advancement of Compassionate Healthcare (REACH) ProgramThe REACH program is a summer clinical research immersion for healthcare-focused undergraduates. It includes research exposure, medical school preparation, and a mentorship-based cohort to foster peer relationships.",Medicine & Health,Summer,2/17/25
170,"Entry Point! Program for Students with DisabilitiesEntry Point! is the signature program of the AAAS Project on Science, Technology, and Disability. Entry Point! provides a wide, national recruitment and screening effort to discover outstanding students with disabilities.","Medicine & Health, Natural Sciences, Science & Technology",Summer,Anticipated 2/18/25
171,"National Institute of Neurological Disorders and Stroke (NINDS) Summer Internship Programs NINDS offers students the opportunity to receive mentoring from leading neuroscience investigators, conduct individual cutting-edge research projects, and learn about the use of information technology in biomedical research. Students will present their research to the scientific community at NIH's Annual Research Poster Day for Summer students.",Medicine & Health,Summer,2/19/25
172,"Summer Undergraduate Research Fellowship (SURF) at CaltechSummer Undergraduate Research Fellowships (SURF) at Caltech – SURF offers students the opportunity to conduct a 10-week summer research project under the guidance of experienced mentors with a stipend award. Students will collaborate with a potential mentor to define and develop a project, submit a technical paper, and give an oral presentation at one of several SURF Seminar Days.",Social Sciences & Behavior,Summer,2/22/25
173,"Old Sturbridge Village InternshipExplore Museum careers at Old Sturbridge Village, New England's largest outdoor History Museum. Gain hands-on experience through internships and practical knowledge.","Agriculture & Food Sciences, Education, Humanities & Arts, Natural Sciences, Social Sciences & Behavior",Summer,Anticipated 2/22/25
174,"Environmental Health Sciences REUThis 9-week REU explores the intersection of environment and health in a rigorous internship offering seminars, workshops, networking, and research opportunities.","Medicine & Health, Natural Sciences, Science & Technology",Summer,2/23/25
175,"REU Program in the Structure and Function of ProteinsThis REU Program offers a 10-week research experience in biochemistry, biophysics, and related fields. Undergraduates explore diverse projects centered on protein, RNA, and DNA structure and function.","Medicine & Health, Natural Sciences",Summer,Anticipated 2/23/25
176,"Environmental Engineering: Measurements and Modeling in the Pacific NorthwestThis REU offers undergraduates in engineering and environmental science hands-on research experience, collaborating with faculty on projects and participating in workshops. Students conclude their experience with a poster symposium and national conference.","Natural Sciences, Science & Technology",Summer,Anticipated 2/24/25
177,"Center for Power Optimization of Electro-Thermal Systems (POETS) Research Experience for UndergraduatesPOETS REU participants work on their projects under the guidance of a mentor, participate in bi-weekly research seminars, professional development workshops, and a variety of social activities. Students will present their research at a cohort meeting and symposium.",Science & Technology,Summer,Anticipated 2/24/25
178,"Institute for Systems Biology REUThe ISB Summer Undergraduate Research Experiences Program offers undergraduates with a diversity of backgrounds, career goals and experiences the opportunity to experience research side by side with experts in systems biology.",Science & Technology,Summer,Anticipated 2/25/25
179,"Inter-University Consortium for Political and Social Research Summer ProgramThis program provides rigorous, hands-on training in statistical techniques, research methodologies, and data analysis to students. The program also emphasizes the integration of methodological strategies with the theoretical and practical concerns that arise in research on substantive issues.",Social Sciences & Behavior,Summer,Anticipated 2/25/25
180,Simmons Cancer Institute Summer InternshipThe Simmons Cancer Institute Summer Internship program provides hands-on experience for college undergraduates who plan a career in medicine or research with a focus on cancer.,Medicine & Health,Summer,Anticipated 2/25/25
181,"Center for Cellular and Biomolecular Machines Summer InternshipThis 9-week program provides students who are interested in biophysics, biochemistry & bioengineering the opportunity to obtain research, academic guidance, and mentoring from CCBM faculty & graduate students, as well as access lectures, trainings, bootcamps, and workshops to become a part of the UC Merced Summer Undergraduate Research Institute (SURI) cohort.","Natural Sciences, Science & Technology",Summer,Anticipated 2/26/25
182,"Summer in Biomedical Science (SIBS) Undergraduate Research Program at the University of Alabama BirminghamSIBS provides a hands-on 8-week summer opportunity for undergraduates interested in biology and biomedical science to participate in research projects guided by faculty members. Students will receive a stipend of $3,200 for their participation in the program.",Medicine & Health,Summer,Anticipated 2/27/25
183,"Summer Enrichment Program at the University of MichiganUMSEP provides juniors and seniors from underrepresented groups an 8-week summer pre-professional internship in a health care or public health organization to learn more about health disparities, the health care system, and public health. Students are paired with mentors to complete a research project and will attend meetings, lectures, and present research findings.",Medicine & Health,Summer,Anticipated 2/27/25
184,"Smithsonian National Air and Space Museum Summer Internship ProgramThe Smithsonian Air and Space Museum's Summer Internship Program offers 10-week positions in various fields including aviation, space history, exhibits, communications, and education. Students from all disciplines are welcome to apply. Interns are assigned supervisors, work on projects, and engage in virtual group activities, presentations, and professional development opportunities.","Education, Humanities & Arts, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 2/28/25
185,"REU Site: Algebra, Combinatorics, and StatisticsIn this eight-week REU, students will work in teams under faculty mentorship on diverse mathematical research projects. Participants will develop skills in literature review, software usage, oral presentations, and writing research papers, ultimately enhancing their understanding of mathematical research and community.","Natural Sciences, Science & Technology",Summer,2/28/25
186,"University of Rochester Medical Center Summer Scholars Program Designed for underrepresented students pursuing PhD degrees in Biological or Biomedical Sciences, this intensive program offers mentorship, research opportunities, and covers a diverse range of scientific topics",Medicine & Health,Summer,2/28/25
187,"UT-ORII SMaRT Internships Program (SMaRT) SMaRT interns have the unique opportunity to work daily with researchers from ORNL and UT for 10 weeks over the summer. Interns receive a stipend, housing and an allowance for travel to and from Knoxville, Tennessee.",Science & Technology,Summer,Anticipated 2/28/25
188,"Nebraska Summer Research ProgramThe Nebraska Summer Research Program is an intensive summer opportunity that provides students with mentoring and research experiences and a preview of graduate school life. Research topics range from Applied Plant Systems, Biomedical Engineering, Minority Health Disparities, Sustainability of Civil Infrastructure, Virology, and more. Students will also attend workshops for GRE prep, writing personal statements, and creating research posters.","Agriculture & Food Sciences, Medicine & Health, Natural Sciences, Science & Technology",Summer,3/1/25
189,"Digital Agriculture Research Experience for Undergraduates (CDA REU)The CDA REU program provides valuable hands-on training alongside experts, access to professional development and entrepreneurship workshops, participation in AI Foundry short course and Hackathon, and a final research presentation at an annual conference.","Agriculture & Food Sciences, Natural Sciences, Science & Technology",Summer,Anticipated 3/1/25
190,Community-Engaged Training for Advancing Health EquityThis REU provides students with the opportunity to study health disparities with a focus on understanding social context. Students will be trained in relevant social analysis techniques and use this training to develop hypotheses & learn how to design and conduct health disparities-related research.,"Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 3/1/25
191,"Mathematical Sciences Research Institute Undergraduate Program (MSRI-UP)The MSRI-UP is a summer research initiative designed to engage undergraduate students, particularly those from underrepresented groups, in meaningful mathematical research. The summer program, themed “Quantitative Justice,” will focus on using mathematical and computational techniques to address social justice issues, offering participants research experience, mentorship, skill-building workshops, and opportunities to present their findings.",Science & Technology,Summer,3/1/25
192,"Biosphere 2 (B2 REU)The Biosphere 2 Research Experience for Undergraduates (REU) at the University of Arizona offers a unique opportunity to conduct guided research in environmental and Earth systems science, including topics in climate change, water scarcity, and sustainability.",Natural Sciences,Summer,3/1/25
193,"Sevilleta Research Experience for UndergraduatesThis interdisciplinary program is seeking art students to observe and interpret the ecology, research, and landscape of the Sevilleta National Wildlife Refuge through the creation of artistic works (e.g., photography, painting, sculpture, videos).","Humanities & Arts, Natural Sciences",Summer,Anticipated 3/1/25
194,"Undergraduate Summer Research Experience in Virology (USREV)This program is designed for students whose primary interest is exploring a career in Biomedical research, Biology, Biochemistry, Microbiology, and Molecular Biology. Students will be trained in biomedical research, design and implement a tailor-made research project, and present findings at a research symposium.","Medicine & Health, Natural Sciences, Science & Technology",Summer,3/1/25
195,Hub and Spoke SM²ART with Oak Ridge National LabThe Hub & Spoke Program is a collaborative initiative between the Manufacturing Demonstration Facility (MDF) at Oak Ridge National Laboratory (ORNL) and the Advanced Structures and Composites Center (ASCC) at the University of Maine.,Science & Technology,Summer,3/1/25
196,"Bruins In Genomics (B.I.G.) Summer Research ProgramB.I.G. Summer Research Program is an 8-week full-time immersion program for undergraduates interested in learning how to read and analyze genes and genomes. Through this program students will have the opportunity to experience graduate-level coursework, and learn the latest cutting-edge research, tools and methods used by leading scientists to solve real-world problems.","Medicine & Health, Natural Sciences",Summer,3/1/25
197,"Students Pushing INnovation (SPIN) Internship Program @ The National Center for Supercomputing Applications The National Center for Supercomputing Applications (NCSA) has a history of nurturing innovative concepts, and some of the best ideas have come from highly motivated, creative undergraduate students. The Students Pushing INnovation (SPIN) internship program was launched to provide University of Illinois undergraduates with the opportunity to participate in hands-on research and contribute to interdisciplinary projects covering focused research areas in Culture and Society, Earth and Environment, Bioinformatics and Health Sciences, Material and Manufacturing, Data and Computational Sciences, Physics and Astronomy, and Digital Agriculture.","Agriculture & Food Sciences, Business & Economics, Data Science, Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 3/3/25
198,"Biomedical Summer Research ProgramThis program is a summer research experience designed to immerse undergraduates in hands-on biomedical research alongside mentors, postdocs, and peers. Participants receive a stipend, along with travel, housing, and transportation, and will present a professional research poster at the program's conclusion.",Medicine & Health,Summer,3/3/25
199,"Agricultural Data Science REUNew transdisciplinary crop phenomics research offers a 9-week immersive experience for undergrads, emphasizing skills, collaboration, and educational opportunities through boot camps, workshops, and more.","Agriculture & Food Sciences, Data Science, Natural Sciences, Science & Technology",Summer,3/5/25
200,"High Performance Computing in the Physical Sciences REUThis REU program immerses underrepresented undergraduate students in interdisciplinary High Performance and Computing Research across the physical sciences. It offers students mentorship, hands-on projects, and professional development to prepare them for advanced STEM careers.","Data Science, Natural Sciences, Science & Technology",Summer,3/7/25
201,"Improving Crop Resiliency: Agriculture in Changing Climate REUThis 10-week program offers undergraduates research opportunities in plant biology and soil science, including field trips, outreach components, and a final symposium.","Agriculture & Food Sciences, Natural Sciences",Summer,3/10/25
202,"Blackwell Summer Scholars ProgramThe David H. Blackwell Summer Scholars Program offers research experiences in the areas of statistics, data science, and mathematics. Participants will present at the end of the summer and will be prepared for success in future graduate programs.",Science & Technology,Summer,Anticipated 3/10/25
203,"Marine Science Research & Biological Discovery in Woods Hole (BDWH) Biological Discovery in Woods Hole (BDWH) – BDWH is a 10-week research experience for undergraduates at the Marine Biological Laboratory in Woods Hole, Massachusetts. Along with conducting marine research, students will participate in field trips and attend weekly course meetings, seminars and/or luncheons that will explore a wide range of in biological science topics.",Natural Sciences,Summer,Anticipated 3/10/25
204,"American Studies Journalism and Communications Internship Program TFAS offers students the opportunity to spend 8 weeks earning 3-9 credits from George Mason University, complete an internship placement in their field of interest, and live in furnished housing provided through Washington Intern Student Housing.",Social Sciences & Behavior,Summer,Anticipated 3/12/25
205,"American Student Placements in Rehabilitation Engineering (ASPIRE) ProgramThe Human Engineering Research Laboratories offer a summer research program focused on rehabilitation engineering and assistive technology, where participants engage in research, develop presentations, and compete in professional development activities, culminating in a symposium recognizing outstanding work.","Medicine & Health, Science & Technology",Summer,Anticipated 3/15/25
206,"Integrated Nanomanufacturing REU (INM)The INM REU offers students hands-on research experience in integrated nanomanufacturing, allowing them to work on projects in faculty or startup labs, receive specialized training on advanced equipment, and participate in professional development activities.","Medicine & Health, Science & Technology",Summer,3/15/25
207,"Research Experience in Consumer Networking TechnologiesStudents will investigate some important issues related to software-defined networking/virtualization, visual computing at the network edge, social virtual reality, mobile sensing & environment recognition.",Science & Technology,Summer,3/15/25
208,Photonics Undergraduate Research Summer Experience (PURSuE)An REU program for students who are interested in pursuing doctoral research related to photonics. The program is run with several other REU programs and includes mentoring and professional development as well as laboratory research.,"Medicine & Health, Science & Technology",Summer,Anticipated 3/15/25
209,The Future of Discovery: Training Students to Build and Apply Open Source Machine Learning Models and Tools (FODOMMaT) REU ProgramFoDOMMaT (The Future of Discovery: Training Students to Build and Apply Open Source Machine Learning Models and Tools) is a 10-week training experience in machine learning at the University of Illinois at Urbana-Champaign’s National Center for Supercomputing Applications (NCSA) in which students will work on developing open source machine learning models and tools and applying them to solving real world problems.,Science & Technology,Summer,Anticipated 3/17/25
